S.NO.,Invoice ID,City,Customer type,Gender,Product line,Quantity,Total,DATE,TIME,Payment,Rating,Month
4,493-65-6248,BANGALORE,Member,Female,Sports and travel,10,388.29,01-01-2019,19:48,Credit card,7,January
5,556-97-7101,BANGALORE,Normal,Female,Electronic accessories,2,132.762,01-01-2019,15:51,Cash,8.5,January
6,133-14-7229,BANGALORE,Normal,Male,Health and beauty,2,132.027,01-01-2019,11:43,Cash,5,January
10,271-77-8740,BANGALORE,Member,Female,Sports and travel,6,184.086,01-01-2019,11:40,Ewallet,5,January
13,189-98-2939,BANGALORE,Normal,Male,Fashion accessories,9,742.2975,03-01-2019,13:22,Cash,7.2,January
15,153-58-4872,BANGALORE,Member,Female,Food and beverages,4,314.538,03-01-2019,15:32,Ewallet,4.2,January
25,687-15-1097,BANGALORE,Member,Female,Health and beauty,2,44.352,03-01-2019,19:17,Cash,9.7,January
27,343-87-0864,BANGALORE,Member,Male,Health and beauty,1,79.674,03-01-2019,10:30,Credit card,7.1,January
32,672-51-8681,BANGALORE,Member,Female,Electronic accessories,9,629.8425,04-01-2019,18:19,Credit card,9.7,January
38,628-34-3388,BANGALORE,Normal,Male,Fashion accessories,6,172.494,05-01-2019,20:54,Credit card,7.9,January
42,573-98-8548,BANGALORE,Member,Female,Fashion accessories,1,33.495,05-01-2019,12:40,Ewallet,9.1,January
46,801-88-0346,BANGALORE,Normal,Female,Fashion accessories,3,239.589,05-01-2019,20:30,Credit card,9.8,January
47,433-08-7822,BANGALORE,Normal,Female,Health and beauty,7,579.8415,05-01-2019,19:48,Ewallet,7.5,January
49,393-65-2792,BANGALORE,Normal,Male,Food and beverages,10,939.54,06-01-2019,12:46,Credit card,9.6,January
52,834-25-9262,BANGALORE,Normal,Female,Fashion accessories,4,343.056,06-01-2019,12:12,Cash,9.1,January
58,232-16-2483,BANGALORE,Member,Female,Sports and travel,1,71.526,07-01-2019,12:28,Ewallet,6.8,January
63,526-86-8552,BANGALORE,Member,Female,Home and lifestyle,10,229.11,07-01-2019,17:36,Cash,7.1,January
66,390-31-6381,BANGALORE,Normal,Male,Food and beverages,3,85.743,07-01-2019,12:37,Cash,7.3,January
67,189-08-9157,BANGALORE,Normal,Female,Fashion accessories,9,299.8485,08-01-2019,16:17,Credit card,5.9,January
68,663-86-9076,BANGALORE,Member,Female,Food and beverages,8,575.736,08-01-2019,15:57,Ewallet,8.5,January
70,750-57-9686,BANGALORE,Normal,Female,Home and lifestyle,4,190.596,08-01-2019,13:48,Credit card,8.7,January
71,192-98-7397,BANGALORE,Normal,Male,Fashion accessories,1,13.419,08-01-2019,14:11,Ewallet,9.5,January
74,484-22-8230,BANGALORE,Member,Female,Fashion accessories,7,381.3915,08-01-2019,20:08,Cash,4.5,January
