S.NO.,Invoice ID,City,Customer type,Gender,Product line,Quantity,Total,DATE,TIME,Payment,Rating,Month
3,891-01-7034,DELHI,Normal,Female,Electronic accessories,6,470.673,01-01-2019,19:07,Cash,6.7,January
11,770-42-8960,DELHI,Normal,Male,Food and beverages,8,177.408,01-01-2019,19:31,Cash,6.3,January
12,746-04-1077,DELHI,Member,Female,Food and beverages,10,888.615,01-01-2019,11:36,Credit card,9,January
14,453-63-6187,DELHI,Normal,Male,Electronic accessories,3,86.625,03-01-2019,15:40,Ewallet,6.5,January
17,339-96-8318,DELHI,Member,Male,Fashion accessories,7,597.6285,03-01-2019,19:49,Ewallet,6.3,January
18,207-73-1363,DELHI,Normal,Male,Health and beauty,2,145.971,03-01-2019,12:15,Ewallet,8.1,January
19,470-31-3286,DELHI,Normal,Male,Health and beauty,3,46.683,03-01-2019,11:30,Credit card,8.7,January
22,238-45-6950,DELHI,Member,Male,Food and beverages,1,56.406,03-01-2019,20:03,Ewallet,6.4,January
28,875-31-8302,DELHI,Normal,Male,Sports and travel,1,98.049,03-01-2019,13:07,Cash,9.6,January
29,501-61-1753,DELHI,Normal,Female,Home and lifestyle,6,397.845,03-01-2019,20:24,Ewallet,9.8,January
30,552-44-5977,DELHI,Member,Male,Health and beauty,8,520.8,03-01-2019,19:08,Credit card,6.2,January
31,279-74-2924,DELHI,Member,Male,Electronic accessories,1,75.7785,04-01-2019,19:40,Cash,6.1,January
33,656-16-1063,DELHI,Normal,Male,Sports and travel,3,146.223,04-01-2019,13:24,Credit card,4.4,January
35,725-32-9708,DELHI,Member,Female,Fashion accessories,4,288.582,04-01-2019,19:01,Cash,4.1,January
41,843-01-4703,DELHI,Member,Female,Home and lifestyle,9,334.341,05-01-2019,19:50,Credit card,9.6,January
44,339-12-4827,DELHI,Member,Female,Fashion accessories,1,77.658,05-01-2019,11:32,Credit card,5,January
45,841-18-8232,DELHI,Normal,Female,Food and beverages,1,74.76,05-01-2019,20:40,Credit card,9.2,January
54,826-58-8051,DELHI,Normal,Male,Home and lifestyle,4,261.198,06-01-2019,19:46,Ewallet,4.3,January
55,729-06-2010,DELHI,Member,Male,Health and beauty,9,760.4415,06-01-2019,11:18,Cash,9.2,January
59,109-28-2512,DELHI,Member,Female,Fashion accessories,6,614.943,07-01-2019,15:01,Ewallet,9.9,January
62,566-19-5475,DELHI,Normal,Male,Fashion accessories,7,352.5795,07-01-2019,20:52,Cash,6.2,January
64,889-04-9723,DELHI,Member,Female,Food and beverages,4,374.388,07-01-2019,12:20,Credit card,7.8,January
69,571-94-0759,DELHI,Member,Female,Food and beverages,10,783.3,08-01-2019,20:55,Cash,9.5,January
73,387-49-4215,DELHI,Member,Female,Sports and travel,3,152.775,08-01-2019,12:50,Cash,6.7,January
75,241-96-5076,DELHI,Member,Female,Home and lifestyle,2,103.11,08-01-2019,12:58,Credit card,6.4,January
76,767-97-4650,DELHI,Member,Female,Sports and travel,2,136.143,08-01-2019,11:59,Credit card,8,January
78,457-13-1708,DELHI,Member,Male,Fashion accessories,10,684.915,08-01-2019,19:07,Credit card,5.2,January
84,490-95-0021,DELHI,Member,Female,Food and beverages,10,348.705,08-01-2019,14:25,Ewallet,6,January
88,343-75-9322,DELHI,Member,Female,Sports and travel,8,99.54,09-01-2019,16:34,Cash,4.1,January
90,305-89-2768,DELHI,Member,Female,Home and lifestyle,3,68.985,09-01-2019,18:43,Ewallet,4.7,January
94,640-49-2076,DELHI,Normal,Male,Sports and travel,8,703.752,10-01-2019,14:49,Cash,5.1,January
98,241-11-2261,DELHI,Normal,Female,Fashion accessories,7,586.971,10-01-2019,10:33,Credit card,5.5,January
100,226-34-0034,DELHI,Normal,Female,Electronic accessories,4,57.876,10-01-2019,11:10,Ewallet,9,January
113,848-07-1692,DELHI,Normal,Female,Health and beauty,2,120.162,12-01-2019,17:13,Ewallet,8.3,January
114,296-11-7041,DELHI,Member,Female,Health and beauty,1,28.4235,12-01-2019,20:07,Credit card,5.3,January
116,852-62-7105,DELHI,Normal,Female,Fashion accessories,10,874.125,12-01-2019,11:25,Credit card,4.4,January
118,197-77-7132,DELHI,Member,Male,Electronic accessories,8,769.104,12-01-2019,18:22,Ewallet,6,January
119,751-15-6198,DELHI,Normal,Male,Sports and travel,6,144.963,12-01-2019,16:45,Ewallet,7.9,January
120,533-66-5566,DELHI,Normal,Female,Home and lifestyle,7,375.3645,12-01-2019,11:42,Cash,7,January
124,339-38-9982,DELHI,Member,Male,Fashion accessories,2,125.706,13-01-2019,14:55,Ewallet,6.7,January
125,355-34-6244,DELHI,Normal,Male,Food and beverages,2,152.019,13-01-2019,19:55,Credit card,8.1,January
126,327-40-9673,DELHI,Member,Male,Sports and travel,6,457.38,13-01-2019,19:51,Cash,6.9,January
132,785-13-7708,DELHI,Normal,Male,Food and beverages,7,536.991,14-01-2019,19:06,Credit card,4.2,January
134,868-52-7573,DELHI,Normal,Female,Food and beverages,5,523.3725,14-01-2019,12:09,Cash,9.9,January
136,359-90-3665,DELHI,Member,Female,Fashion accessories,4,75.936,14-01-2019,18:03,Credit card,9.5,January
138,320-85-2052,DELHI,Normal,Female,Sports and travel,1,36.5505,14-01-2019,10:11,Credit card,7,January
141,559-61-5987,DELHI,Normal,Female,Health and beauty,1,18.6375,14-01-2019,10:38,Cash,8.6,January
144,299-46-1805,DELHI,Member,Female,Sports and travel,6,590.436,15-01-2019,16:19,Cash,4.5,January
146,437-58-8131,DELHI,Normal,Female,Fashion accessories,2,154.392,15-01-2019,13:41,Ewallet,4.6,January
151,188-55-0967,DELHI,Member,Male,Health and beauty,10,697.935,15-01-2019,15:01,Credit card,5,January
152,369-82-2676,DELHI,Normal,Male,Electronic accessories,5,397.215,15-01-2019,18:22,Ewallet,7.8,January
155,744-16-7898,DELHI,Normal,Female,Home and lifestyle,10,1022.385,15-01-2019,13:48,Credit card,4.9,January
157,659-65-8956,DELHI,Member,Male,Fashion accessories,1,53.928,16-01-2019,15:26,Ewallet,5.2,January
160,347-72-6115,DELHI,Member,Female,Sports and travel,7,666.939,16-01-2019,18:03,Credit card,6.2,January
161,286-62-6248,DELHI,Normal,Male,Fashion accessories,4,164.682,16-01-2019,20:03,Credit card,9,January
167,280-35-5823,DELHI,Member,Female,Home and lifestyle,1,91.056,17-01-2019,18:45,Ewallet,7.9,January
171,349-97-8902,DELHI,Member,Male,Food and beverages,2,121.569,17-01-2019,10:37,Ewallet,8.9,January
172,670-79-6321,DELHI,Member,Female,Home and lifestyle,7,695.2365,17-01-2019,15:27,Credit card,4.9,January
173,679-22-6530,DELHI,Normal,Female,Sports and travel,2,85.302,17-01-2019,10:01,Credit card,4.1,January
179,414-12-7047,DELHI,Normal,Male,Food and beverages,8,166.236,18-01-2019,12:04,Ewallet,8.7,January
183,821-14-9046,DELHI,Member,Female,Fashion accessories,6,110.124,18-01-2019,15:04,Credit card,6.1,January
190,608-27-6295,DELHI,Member,Male,Electronic accessories,6,333.207,19-01-2019,17:34,Credit card,9.8,January
193,375-72-3056,DELHI,Normal,Male,Sports and travel,3,198.639,19-01-2019,15:58,Ewallet,7,January
199,761-49-0439,DELHI,Member,Female,Electronic accessories,8,101.64,19-01-2019,10:17,Ewallet,8.6,January
204,378-24-2715,DELHI,Normal,Male,Home and lifestyle,2,112.224,20-01-2019,20:38,Ewallet,4.1,January
208,356-44-8813,DELHI,Normal,Male,Home and lifestyle,3,118.062,20-01-2019,13:45,Credit card,7.7,January
219,401-18-8016,DELHI,Member,Female,Sports and travel,1,103.0365,21-01-2019,17:36,Cash,8.9,January
226,563-47-4072,DELHI,Normal,Female,Health and beauty,6,351.603,22-01-2019,11:52,Cash,9.9,January
227,120-54-2248,DELHI,Normal,Female,Food and beverages,5,151.515,22-01-2019,18:08,Credit card,8,January
246,139-20-0155,DELHI,Member,Male,Electronic accessories,10,423.15,24-01-2019,17:37,Credit card,7,January
249,789-23-8625,DELHI,Member,Male,Fashion accessories,3,293.643,24-01-2019,11:45,Cash,7.2,January
250,510-79-0415,DELHI,Member,Female,Sports and travel,6,145.404,24-01-2019,19:20,Ewallet,4.9,January
251,438-23-1242,DELHI,Normal,Male,Electronic accessories,7,557.718,24-01-2019,10:38,Ewallet,8.9,January
252,775-72-1988,DELHI,Normal,Male,Home and lifestyle,5,384.72,24-01-2019,15:05,Ewallet,8.4,January
257,602-16-6955,DELHI,Normal,Female,Sports and travel,10,804.3,24-01-2019,18:10,Ewallet,6,January
258,145-94-9061,DELHI,Normal,Female,Food and beverages,5,463.89,25-01-2019,19:48,Cash,9.6,January
260,191-10-6171,DELHI,Normal,Female,Fashion accessories,7,291.207,25-01-2019,13:18,Cash,7.5,January
264,283-79-9594,DELHI,Normal,Female,Food and beverages,7,356.5485,25-01-2019,13:30,Credit card,5.2,January
266,730-61-8757,DELHI,Member,Male,Health and beauty,4,214.746,25-01-2019,10:11,Credit card,4,January
267,261-12-8671,DELHI,Normal,Female,Fashion accessories,2,128.016,25-01-2019,19:39,Credit card,4.9,January
268,569-71-4390,DELHI,Normal,Male,Sports and travel,2,45.927,25-01-2019,14:29,Ewallet,6.9,January
269,268-03-6164,DELHI,Normal,Male,Health and beauty,1,100.9155,25-01-2019,16:28,Ewallet,7.8,January
