S.NO.,Invoice ID,City,Customer type,Gender,Product line,Quantity,Total,DATE,TIME,Payment,Rating,Month
1,765-26-6951,MUMBAI,Normal,Male,Sports and travel,6,457.443,01-01-2019,10:39,Credit card,6.9,January
2,530-90-9855,MUMBAI,Member,Male,Home and lifestyle,8,399.756,01-01-2019,14:47,Cash,5.7,January
7,651-88-7328,MUMBAI,Normal,Female,Fashion accessories,9,621.243,01-01-2019,13:55,Cash,7.7,January
8,182-52-7000,MUMBAI,Member,Female,Sports and travel,4,113.568,01-01-2019,20:26,Ewallet,6.9,January
9,416-17-9926,MUMBAI,Member,Female,Electronic accessories,10,779.31,01-01-2019,14:42,Credit card,4.3,January
16,220-28-1851,MUMBAI,Normal,Male,Home and lifestyle,2,72.933,03-01-2019,18:14,Ewallet,9.7,January
20,811-03-8790,MUMBAI,Normal,Female,Electronic accessories,10,477.54,03-01-2019,10:22,Credit card,4.8,January
21,247-11-2470,MUMBAI,Member,Female,Fashion accessories,4,93.744,03-01-2019,16:23,Credit card,4.4,January
23,249-42-3782,MUMBAI,Normal,Male,Health and beauty,5,367.5525,03-01-2019,11:36,Ewallet,5.5,January
24,749-24-1565,MUMBAI,Normal,Female,Health and beauty,9,217.6335,03-01-2019,12:02,Ewallet,7.9,January
26,422-29-8786,MUMBAI,Normal,Female,Home and lifestyle,5,352.2225,03-01-2019,16:47,Credit card,9.1,January
34,731-14-2199,MUMBAI,Member,Female,Home and lifestyle,10,373.17,04-01-2019,13:34,Ewallet,7,January
36,132-23-6451,MUMBAI,Member,Male,Health and beauty,5,110.0925,04-01-2019,13:21,Cash,7.8,January
37,750-67-8428,MUMBAI,Member,Female,Health and beauty,7,548.9715,05-01-2019,13:08,Ewallet,9.1,January
39,217-58-1179,MUMBAI,Member,Male,Home and lifestyle,4,263.13,05-01-2019,11:25,Cash,4.2,January
40,144-51-6085,MUMBAI,Member,Male,Home and lifestyle,4,297.108,05-01-2019,16:05,Credit card,4.4,January
43,209-61-0206,MUMBAI,Normal,Female,Home and lifestyle,5,225.2775,05-01-2019,17:29,Ewallet,6.1,January
48,489-82-1237,MUMBAI,Normal,Female,Electronic accessories,7,690.018,05-01-2019,11:51,Credit card,7.3,January
50,704-11-6354,MUMBAI,Member,Male,Home and lifestyle,8,494.76,06-01-2019,11:23,Cash,8.9,January
51,490-29-1201,MUMBAI,Normal,Female,Sports and travel,1,16.107,06-01-2019,11:09,Cash,6.5,January
53,662-72-2873,MUMBAI,Normal,Female,Food and beverages,5,214.935,06-01-2019,13:58,Ewallet,9.9,January
56,852-82-2749,MUMBAI,Normal,Male,Sports and travel,4,271.278,06-01-2019,13:35,Ewallet,9.3,January
57,846-10-0341,MUMBAI,Normal,Female,Fashion accessories,7,312.8895,06-01-2019,11:51,Cash,6.8,January
60,799-71-1548,MUMBAI,Member,Male,Electronic accessories,4,326.424,07-01-2019,16:11,Credit card,8.8,January
61,126-54-1082,MUMBAI,Member,Female,Home and lifestyle,9,203.553,07-01-2019,11:44,Credit card,8.8,January
65,541-48-8554,MUMBAI,Normal,Male,Sports and travel,9,575.9775,07-01-2019,12:08,Credit card,6,January
72,674-15-9296,MUMBAI,Normal,Male,Sports and travel,5,194.985,08-01-2019,13:05,Ewallet,5,January
79,257-60-7754,MUMBAI,Normal,Female,Electronic accessories,4,210.966,08-01-2019,17:12,Cash,9,January
81,840-76-5966,MUMBAI,Member,Male,Sports and travel,2,26.796,08-01-2019,18:06,Ewallet,7.8,January
82,124-31-1458,MUMBAI,Member,Female,Electronic accessories,3,250.7085,08-01-2019,14:30,Cash,6.6,January
89,288-62-1085,MUMBAI,Member,Male,Fashion accessories,5,202.335,09-01-2019,13:34,Ewallet,5.6,January
93,665-32-9167,MUMBAI,Member,Female,Health and beauty,2,76.146,10-01-2019,17:15,Credit card,7.2,January
95,873-51-0671,MUMBAI,Member,Female,Sports and travel,7,161.553,10-01-2019,16:42,Ewallet,5.1,January
96,744-02-5987,MUMBAI,Member,Male,Home and lifestyle,6,493.794,10-01-2019,14:16,Ewallet,5.8,January
103,478-06-7835,MUMBAI,Normal,Male,Fashion accessories,1,94.1745,11-01-2019,11:20,Ewallet,4.9,January
104,540-11-4336,MUMBAI,Normal,Male,Food and beverages,9,235.683,11-01-2019,16:49,Credit card,5.6,January
105,289-15-7034,MUMBAI,Member,Male,Sports and travel,4,345.786,11-01-2019,10:37,Credit card,7.5,January
106,732-67-5346,MUMBAI,Normal,Male,Food and beverages,5,72.3975,11-01-2019,19:07,Credit card,7.8,January
107,130-67-4723,MUMBAI,Member,Male,Food and beverages,6,305.55,11-01-2019,13:57,Ewallet,9.4,January
109,406-46-7107,MUMBAI,Normal,Female,Home and lifestyle,6,608.076,11-01-2019,11:52,Cash,4.5,January
110,381-20-0914,MUMBAI,Member,Female,Fashion accessories,9,189.0945,12-01-2019,15:48,Credit card,5.7,January
111,704-48-3927,MUMBAI,Member,Male,Electronic accessories,10,931.035,12-01-2019,14:50,Ewallet,7.3,January
115,647-50-1224,MUMBAI,Normal,Female,Fashion accessories,10,308.91,12-01-2019,16:23,Ewallet,8.9,January
123,459-50-7686,MUMBAI,Normal,Female,Electronic accessories,6,147.798,13-01-2019,19:14,Ewallet,6.4,January
127,460-93-5834,MUMBAI,Normal,Male,Sports and travel,7,335.013,13-01-2019,10:03,Cash,5,January
128,397-25-8725,MUMBAI,Member,Female,Health and beauty,9,374.409,13-01-2019,17:54,Credit card,6.8,January
130,195-06-0432,MUMBAI,Member,Male,Home and lifestyle,3,255.1815,13-01-2019,12:55,Credit card,9.3,January
133,667-23-5919,MUMBAI,Member,Female,Fashion accessories,5,507.675,14-01-2019,12:52,Ewallet,7,January
137,588-47-8641,MUMBAI,Member,Male,Fashion accessories,10,588.42,14-01-2019,19:30,Ewallet,4.4,January
145,272-65-1806,MUMBAI,Normal,Female,Electronic accessories,9,575.316,15-01-2019,17:17,Ewallet,4.7,January
148,138-17-5109,MUMBAI,Member,Female,Home and lifestyle,9,843.0345,15-01-2019,15:42,Credit card,6.5,January
149,301-11-9629,MUMBAI,Normal,Female,Sports and travel,7,140.385,15-01-2019,10:43,Cash,9.7,January
150,589-02-8023,MUMBAI,Member,Male,Food and beverages,2,175.917,15-01-2019,10:54,Credit card,7,January
154,886-54-6089,MUMBAI,Normal,Female,Home and lifestyle,6,72.009,15-01-2019,17:24,Cash,7.7,January
164,648-83-1321,MUMBAI,Member,Male,Home and lifestyle,10,667.38,16-01-2019,17:59,Cash,4.3,January
166,618-34-8551,MUMBAI,Normal,Female,Sports and travel,2,195.678,16-01-2019,18:41,Credit card,8.5,January
168,746-54-5508,MUMBAI,Normal,Male,Home and lifestyle,6,135.576,17-01-2019,12:48,Credit card,9.4,January
170,698-98-5964,MUMBAI,Normal,Female,Food and beverages,10,852.705,17-01-2019,13:01,Credit card,6.3,January
174,445-30-9252,MUMBAI,Normal,Male,Sports and travel,3,80.955,17-01-2019,17:59,Ewallet,6.1,January
176,497-37-6538,MUMBAI,Normal,Male,Sports and travel,7,432.9885,17-01-2019,15:15,Ewallet,9.7,January
178,700-81-1757,MUMBAI,Normal,Female,Electronic accessories,5,138.1275,18-01-2019,20:59,Credit card,8.8,January
181,706-36-6154,MUMBAI,Member,Male,Home and lifestyle,9,182.952,18-01-2019,18:43,Ewallet,8.7,January
182,562-12-5430,MUMBAI,Member,Female,Fashion accessories,3,277.6725,18-01-2019,10:11,Ewallet,7.9,January
185,166-19-2553,MUMBAI,Member,Male,Sports and travel,6,561.078,18-01-2019,17:26,Cash,9.9,January
187,645-44-1170,MUMBAI,Member,Male,Home and lifestyle,9,548.7615,19-01-2019,20:07,Ewallet,4.3,January
189,796-32-9050,MUMBAI,Normal,Male,Food and beverages,6,323.064,19-01-2019,16:31,Cash,6.5,January
192,882-40-4577,MUMBAI,Member,Male,Sports and travel,4,282.492,19-01-2019,15:28,Credit card,8,January
195,149-61-1929,MUMBAI,Normal,Male,Sports and travel,10,673.995,19-01-2019,14:08,Credit card,6.7,January
196,482-17-1179,MUMBAI,Member,Male,Electronic accessories,3,37.611,19-01-2019,12:47,Credit card,8.1,January
197,832-51-6761,MUMBAI,Normal,Male,Food and beverages,8,284.592,19-01-2019,20:29,Ewallet,9.6,January
198,125-45-2293,MUMBAI,Normal,Female,Fashion accessories,6,624.33,19-01-2019,13:11,Cash,4.2,January
201,809-69-9497,MUMBAI,Normal,Female,Home and lifestyle,10,479.64,19-01-2019,19:30,Ewallet,5.7,January
203,817-48-8732,MUMBAI,Member,Female,Home and lifestyle,10,759.675,20-01-2019,15:55,Cash,5.4,January
205,645-78-8093,MUMBAI,Normal,Female,Sports and travel,2,195.594,20-01-2019,18:09,Ewallet,4.1,January
210,410-67-1709,MUMBAI,Member,Female,Fashion accessories,8,536.592,20-01-2019,17:48,Ewallet,9.9,January
211,787-87-2010,MUMBAI,Member,Male,Health and beauty,4,233.1,20-01-2019,15:48,Credit card,6.6,January
213,329-62-1586,MUMBAI,Normal,Male,Food and beverages,3,172.2105,21-01-2019,18:00,Credit card,8.6,January
