S.NO.,Invoice ID,City,Customer type,Gender,Product line,Quantity,Total,DATE,TIME,Payment,Rating,Month
1,765-26-6951,MUMBAI,Normal,Male,Sports and travel,6,457.443,01-01-2019,10:39,Credit card,6.9,January
2,530-90-9855,MUMBAI,Member,Male,Home and lifestyle,8,399.756,01-01-2019,14:47,Cash,5.7,January
3,891-01-7034,DELHI,Normal,Female,Electronic accessories,6,470.673,01-01-2019,19:07,Cash,6.7,January
4,493-65-6248,BANGALORE,Member,Female,Sports and travel,10,388.29,01-01-2019,19:48,Credit card,7,January
5,556-97-7101,BANGALORE,Normal,Female,Electronic accessories,2,132.762,01-01-2019,15:51,Cash,8.5,January
6,133-14-7229,BANGALORE,Normal,Male,Health and beauty,2,132.027,01-01-2019,11:43,Cash,5,January
7,651-88-7328,MUMBAI,Normal,Female,Fashion accessories,9,621.243,01-01-2019,13:55,Cash,7.7,January
8,182-52-7000,MUMBAI,Member,Female,Sports and travel,4,113.568,01-01-2019,20:26,Ewallet,6.9,January
9,416-17-9926,MUMBAI,Member,Female,Electronic accessories,10,779.31,01-01-2019,14:42,Credit card,4.3,January
10,271-77-8740,BANGALORE,Member,Female,Sports and travel,6,184.086,01-01-2019,11:40,Ewallet,5,January
11,770-42-8960,DELHI,Normal,Male,Food and beverages,8,177.408,01-01-2019,19:31,Cash,6.3,January
12,746-04-1077,DELHI,Member,Female,Food and beverages,10,888.615,01-01-2019,11:36,Credit card,9,January
13,189-98-2939,BANGALORE,Normal,Male,Fashion accessories,9,742.2975,03-01-2019,13:22,Cash,7.2,January
14,453-63-6187,DELHI,Normal,Male,Electronic accessories,3,86.625,03-01-2019,15:40,Ewallet,6.5,January
15,153-58-4872,BANGALORE,Member,Female,Food and beverages,4,314.538,03-01-2019,15:32,Ewallet,4.2,January
16,220-28-1851,MUMBAI,Normal,Male,Home and lifestyle,2,72.933,03-01-2019,18:14,Ewallet,9.7,January
17,339-96-8318,DELHI,Member,Male,Fashion accessories,7,597.6285,03-01-2019,19:49,Ewallet,6.3,January
18,207-73-1363,DELHI,Normal,Male,Health and beauty,2,145.971,03-01-2019,12:15,Ewallet,8.1,January
19,470-31-3286,DELHI,Normal,Male,Health and beauty,3,46.683,03-01-2019,11:30,Credit card,8.7,January
20,811-03-8790,MUMBAI,Normal,Female,Electronic accessories,10,477.54,03-01-2019,10:22,Credit card,4.8,January
21,247-11-2470,MUMBAI,Member,Female,Fashion accessories,4,93.744,03-01-2019,16:23,Credit card,4.4,January
22,238-45-6950,DELHI,Member,Male,Food and beverages,1,56.406,03-01-2019,20:03,Ewallet,6.4,January
23,249-42-3782,MUMBAI,Normal,Male,Health and beauty,5,367.5525,03-01-2019,11:36,Ewallet,5.5,January
24,749-24-1565,MUMBAI,Normal,Female,Health and beauty,9,217.6335,03-01-2019,12:02,Ewallet,7.9,January
25,687-15-1097,BANGALORE,Member,Female,Health and beauty,2,44.352,03-01-2019,19:17,Cash,9.7,January
26,422-29-8786,MUMBAI,Normal,Female,Home and lifestyle,5,352.2225,03-01-2019,16:47,Credit card,9.1,January
27,343-87-0864,BANGALORE,Member,Male,Health and beauty,1,79.674,03-01-2019,10:30,Credit card,7.1,January
28,875-31-8302,DELHI,Normal,Male,Sports and travel,1,98.049,03-01-2019,13:07,Cash,9.6,January
29,501-61-1753,DELHI,Normal,Female,Home and lifestyle,6,397.845,03-01-2019,20:24,Ewallet,9.8,January
30,552-44-5977,DELHI,Member,Male,Health and beauty,8,520.8,03-01-2019,19:08,Credit card,6.2,January
31,279-74-2924,DELHI,Member,Male,Electronic accessories,1,75.7785,04-01-2019,19:40,Cash,6.1,January
32,672-51-8681,BANGALORE,Member,Female,Electronic accessories,9,629.8425,04-01-2019,18:19,Credit card,9.7,January
33,656-16-1063,DELHI,Normal,Male,Sports and travel,3,146.223,04-01-2019,13:24,Credit card,4.4,January
34,731-14-2199,MUMBAI,Member,Female,Home and lifestyle,10,373.17,04-01-2019,13:34,Ewallet,7,January
35,725-32-9708,DELHI,Member,Female,Fashion accessories,4,288.582,04-01-2019,19:01,Cash,4.1,January
36,132-23-6451,MUMBAI,Member,Male,Health and beauty,5,110.0925,04-01-2019,13:21,Cash,7.8,January
37,750-67-8428,MUMBAI,Member,Female,Health and beauty,7,548.9715,05-01-2019,13:08,Ewallet,9.1,January
38,628-34-3388,BANGALORE,Normal,Male,Fashion accessories,6,172.494,05-01-2019,20:54,Credit card,7.9,January
39,217-58-1179,MUMBAI,Member,Male,Home and lifestyle,4,263.13,05-01-2019,11:25,Cash,4.2,January
40,144-51-6085,MUMBAI,Member,Male,Home and lifestyle,4,297.108,05-01-2019,16:05,Credit card,4.4,January
41,843-01-4703,DELHI,Member,Female,Home and lifestyle,9,334.341,05-01-2019,19:50,Credit card,9.6,January
42,573-98-8548,BANGALORE,Member,Female,Fashion accessories,1,33.495,05-01-2019,12:40,Ewallet,9.1,January
43,209-61-0206,MUMBAI,Normal,Female,Home and lifestyle,5,225.2775,05-01-2019,17:29,Ewallet,6.1,January
44,339-12-4827,DELHI,Member,Female,Fashion accessories,1,77.658,05-01-2019,11:32,Credit card,5,January
45,841-18-8232,DELHI,Normal,Female,Food and beverages,1,74.76,05-01-2019,20:40,Credit card,9.2,January
46,801-88-0346,BANGALORE,Normal,Female,Fashion accessories,3,239.589,05-01-2019,20:30,Credit card,9.8,January
47,433-08-7822,BANGALORE,Normal,Female,Health and beauty,7,579.8415,05-01-2019,19:48,Ewallet,7.5,January
48,489-82-1237,MUMBAI,Normal,Female,Electronic accessories,7,690.018,05-01-2019,11:51,Credit card,7.3,January
49,393-65-2792,BANGALORE,Normal,Male,Food and beverages,10,939.54,06-01-2019,12:46,Credit card,9.6,January
50,704-11-6354,MUMBAI,Member,Male,Home and lifestyle,8,494.76,06-01-2019,11:23,Cash,8.9,January
51,490-29-1201,MUMBAI,Normal,Female,Sports and travel,1,16.107,06-01-2019,11:09,Cash,6.5,January
52,834-25-9262,BANGALORE,Normal,Female,Fashion accessories,4,343.056,06-01-2019,12:12,Cash,9.1,January
53,662-72-2873,MUMBAI,Normal,Female,Food and beverages,5,214.935,06-01-2019,13:58,Ewallet,9.9,January
54,826-58-8051,DELHI,Normal,Male,Home and lifestyle,4,261.198,06-01-2019,19:46,Ewallet,4.3,January
55,729-06-2010,DELHI,Member,Male,Health and beauty,9,760.4415,06-01-2019,11:18,Cash,9.2,January
56,852-82-2749,MUMBAI,Normal,Male,Sports and travel,4,271.278,06-01-2019,13:35,Ewallet,9.3,January
57,846-10-0341,MUMBAI,Normal,Female,Fashion accessories,7,312.8895,06-01-2019,11:51,Cash,6.8,January
58,232-16-2483,BANGALORE,Member,Female,Sports and travel,1,71.526,07-01-2019,12:28,Ewallet,6.8,January
59,109-28-2512,DELHI,Member,Female,Fashion accessories,6,614.943,07-01-2019,15:01,Ewallet,9.9,January
60,799-71-1548,MUMBAI,Member,Male,Electronic accessories,4,326.424,07-01-2019,16:11,Credit card,8.8,January
61,126-54-1082,MUMBAI,Member,Female,Home and lifestyle,9,203.553,07-01-2019,11:44,Credit card,8.8,January
62,566-19-5475,DELHI,Normal,Male,Fashion accessories,7,352.5795,07-01-2019,20:52,Cash,6.2,January
63,526-86-8552,BANGALORE,Member,Female,Home and lifestyle,10,229.11,07-01-2019,17:36,Cash,7.1,January
64,889-04-9723,DELHI,Member,Female,Food and beverages,4,374.388,07-01-2019,12:20,Credit card,7.8,January
65,541-48-8554,MUMBAI,Normal,Male,Sports and travel,9,575.9775,07-01-2019,12:08,Credit card,6,January
66,390-31-6381,BANGALORE,Normal,Male,Food and beverages,3,85.743,07-01-2019,12:37,Cash,7.3,January
67,189-08-9157,BANGALORE,Normal,Female,Fashion accessories,9,299.8485,08-01-2019,16:17,Credit card,5.9,January
68,663-86-9076,BANGALORE,Member,Female,Food and beverages,8,575.736,08-01-2019,15:57,Ewallet,8.5,January
69,571-94-0759,DELHI,Member,Female,Food and beverages,10,783.3,08-01-2019,20:55,Cash,9.5,January
70,750-57-9686,BANGALORE,Normal,Female,Home and lifestyle,4,190.596,08-01-2019,13:48,Credit card,8.7,January
71,192-98-7397,BANGALORE,Normal,Male,Fashion accessories,1,13.419,08-01-2019,14:11,Ewallet,9.5,January
72,674-15-9296,MUMBAI,Normal,Male,Sports and travel,5,194.985,08-01-2019,13:05,Ewallet,5,January
73,387-49-4215,DELHI,Member,Female,Sports and travel,3,152.775,08-01-2019,12:50,Cash,6.7,January
74,484-22-8230,BANGALORE,Member,Female,Fashion accessories,7,381.3915,08-01-2019,20:08,Cash,4.5,January
75,241-96-5076,DELHI,Member,Female,Home and lifestyle,2,103.11,08-01-2019,12:58,Credit card,6.4,January
76,767-97-4650,DELHI,Member,Female,Sports and travel,2,136.143,08-01-2019,11:59,Credit card,8,January
77,442-44-6497,BANGALORE,Member,Male,Home and lifestyle,3,175.0455,08-01-2019,11:42,Credit card,5.9,January
78,457-13-1708,DELHI,Member,Male,Fashion accessories,10,684.915,08-01-2019,19:07,Credit card,5.2,January
